ERROR_PROBABILITY,TRANSMISSIONS
0,26
0.01,26
0.02,26
0.03,26
0.04,26
0.05,26
0.06,32
0.07,31
0.08,31
0.09,41
0.1,26
0.11,34
0.12,46
0.13,33
0.14,46
0.15,26
0.16,53
0.17,26
0.18,93
0.19,28
0.2,62
0.21,74
0.22,55
0.23,103
0.24,64
0.25,60
0.26,82
0.27,61
0.28,60
0.29,124
0.3,125
0.31,102
0.32,73
0.33,123
0.34,83
0.35,92
0.36,88
0.37,163
0.38,124
0.39,151
0.4,121
0.41,118
0.42,105
0.43,143
0.44,139
0.45,110
0.46,191
0.47,234
0.48,163
0.49,156
0.5,147
0.51,215
0.52,286
0.53,281
0.54,193
0.55,267
0.56,280
0.57,301
0.58,259
0.59,300
0.6,145
0.61,305
0.62,336
0.63,286
0.64,366
0.65,227
0.66,518
0.67,394
0.68,300
0.69,455
0.7,551
0.71,398
0.72,457
0.73,363
0.74,406
0.75,810
0.76,578
0.77,820
0.78,645
0.79,659
0.8,672
0.81,727
0.82,729
0.83,606
0.839999,1375
0.849999,741
0.859999,1261
0.869999,1084
0.879999,1407
0.889999,1384
0.899999,1387
0.909999,1714
0.919999,2131
0.929999,2310
0.939999,2698
0.949999,2609
0.959999,4938
0.969999,4700
0.979999,6948
0.989999,15356
